u;v;oneway;highway;name;length;maxspeed
967433354;967433399;True;motorway_link;;73.111;55 mph
466959461;56782258;True;motorway_link;;73.357;55 mph
56313200;56306092;True;motorway_link;;73.399;55 mph
967433351;967433363;True;motorway_link;;74.161;55 mph
967433603;967433399;True;motorway_link;;74.336;55 mph
56256919;1226947158;True;motorway_link;;74.515;55 mph
605175128;605175129;True;motorway_link;;75.443;55 mph
465133610;465133729;True;motorway_link;;75.488;55 mph
56682361;504810173;True;motorway_link;;76.605;55 mph
968204606;968204508;True;motorway_link;;76.686;55 mph
605175140;1234833217;True;motorway_link;;76.846;55 mph
1765678706;1765678763;True;motorway_link;;76.863;55 mph
504810165;56682361;True;motorway_link;;77.828;55 mph
967433409;967433577;True;motorway_link;;78.878;55 mph
56257913;56257921;True;motorway_link;;79.011;55 mph
465133710;465133608;True;motorway_link;;79.168;55 mph
968204385;968204421;True;motorway_link;;81.395;55 mph
618260725;56436320;True;motorway_link;;83.508;55 mph
968050968;968050933;True;motorway_link;;83.604;55 mph
56306079;56306092;True;motorway_link;;84.498;55 mph
56257913;56320794;True;motorway_link;;85.477;55 mph
618255716;56254964;True;motorway_link;;87.214;55 mph
56321370;56321381;True;motorway_link;;87.415;55 mph
967433331;967433657;True;motorway_link;;88.194;55 mph
504810193;504810197;True;motorway_link;;93.762;55 mph
968204410;968204365;True;motorway_link;;97.382;55 mph
1226947272;465133688;True;motorway_link;;98.885;55 mph
1226946772;1226946745;True;motorway_link;;99.409;55 mph
56452078;1226946764;True;motorway_link;;104.128;55 mph
56305414;56284339;True;motorway_link;;105.153;55 mph
1838367590;56251391;True;motorway_link;;106.124;55 mph
605175128;605175140;True;motorway_link;;109.002;55 mph
3712736463;628244259;True;motorway_link;;113.38;55 mph
479707771;479706809;True;motorway_link;;116.402;55 mph
504810197;504810200;True;motorway_link;;119.896;55 mph
1849855185;479706840;True;motorway_link;;122.749;55 mph
56256919;465133602;True;motorway_link;;123.463;55 mph
56722894;1226946801;True;motorway_link;;123.829;55 mph
56251740;1226946801;True;motorway_link;;126.055;55 mph
56436438;3712736463;True;motorway_link;;128.189;55 mph
465133599;465133688;True;motorway_link;;130.124;55 mph
967433651;967433552;True;motorway_link;;130.747;55 mph
56302336;480593282;True;motorway_link;;135.134;55 mph
612872793;967433552;True;motorway_link;;135.409;55 mph
1849855464;56249370;True;motorway_link;;137.037;55 mph
479706806;479707771;True;motorway_link;;140.734;55 mph
618260725;618260729;True;motorway_link;;143.748;55 mph
618260722;618260725;True;motorway_link;;147.792;55 mph
56318854;485002657;True;motorway_link;;157.678;55 mph
56805332;485002129;True;motorway_link;;165.383;55 mph
56266028;56266014;True;motorway_link;;172.435;55 mph
56258667;465145620;True;motorway_link;;175.441;55 mph
465164620;465164662;True;motorway_link;;183.715;55 mph
479706849;479706840;True;motorway_link;;188.578;55 mph
1226946772;1226946355;True;motorway_link;;192.296;55 mph
56255011;56255024;True;motorway_link;;202.251;55 mph
56296785;56296762;True;motorway_link;;220.743;55 mph
647387241;56252062;True;motorway_link;;221.94;55 mph
4460578842;56747125;True;motorway_link;;229.226;55 mph
465133729;56253108;True;motorway_link;;232.193;55 mph
968204563;968204410;True;motorway_link;;233.282;55 mph
968050880;968050907;True;motorway_link;;233.565;55 mph
56273960;56273954;True;motorway_link;;234.689;55 mph
465164595;56452389;True;motorway_link;;234.92;55 mph
56532979;4259341159;True;motorway_link;;235.183;55 mph
466959466;56316989;True;motorway_link;;236.881;55 mph
4460572238;56805332;True;motorway_link;;237.456;55 mph
56756374;1226946772;True;motorway_link;;238.039;55 mph
56245430;56245413;True;motorway_link;;240;55 mph
56298064;56298056;True;motorway_link;;240.169;55 mph
465164600;465164609;True;motorway_link;;244.573;55 mph
967052389;56284366;True;motorway_link;;247.751;55 mph
56281814;967052409;True;motorway_link;;248.793;55 mph
56251391;56251398;True;motorway_link;;249.192;55 mph
56318388;56318389;True;motorway_link;;249.485;55 mph
611729094;56304127;True;motorway_link;;250.533;55 mph
56266772;56266775;True;motorway_link;;251.198;55 mph
56276314;56245234;True;motorway_link;;252.789;55 mph
4460387285;56321370;True;motorway_link;;254.987;55 mph
480593282;56302339;True;motorway_link;;259.032;55 mph
56245055;56245060;True;motorway_link;;261.401;55 mph
1775969596;465164600;True;motorway_link;;262.319;55 mph
56454219;968204385;True;motorway_link;;262.602;55 mph
56453286;480593228;True;motorway_link;;264.407;55 mph
1226947818;967433665;True;motorway_link;;264.791;55 mph
56273919;56273932;True;motorway_link;;264.921;55 mph
56276221;56276215;True;motorway_link;;267.583;55 mph
56270237;56252035;True;motorway_link;;269.591;55 mph
480593362;480593180;True;motorway_link;;271.23;55 mph
1226947637;56302391;True;motorway_link;;271.312;55 mph
1226946764;465145765;True;motorway_link;;275.62;55 mph
56266041;56266060;True;motorway_link;;278.749;55 mph
485000212;466959460;True;motorway_link;;281.17;55 mph
967433384;56303818;True;motorway_link;;281.398;55 mph
56312665;56302397;True;motorway_link;;284.876;55 mph
56256904;56256919;True;motorway_link;;285.932;55 mph
56284339;56284349;True;motorway_link;;286.061;55 mph
56304167;56304154;True;motorway_link;;290.227;55 mph
56463625;56423688;True;motorway_link;;291.046;55 mph
56307136;480593251;True;motorway_link;;293.997;55 mph
