osmid;x;y;highway
56376509;-86.746932;33.592478;
56376510;-86.746911;33.593396;
56376513;-86.746929;33.594348;
56376517;-86.746889;33.595261;
56376519;-86.746862;33.596206;
56376521;-86.746829;33.59695;
56376603;-86.902578;33.438004;
56376604;-86.902896;33.438271;
56376609;-86.904194;33.438628;
56376620;-86.904643;33.439408;
56376626;-86.738703;33.532407;
56376630;-86.738493;33.532082;
56376752;-86.878359;33.534641;
56376756;-86.8773392;33.534611;
56376759;-86.876467;33.534338;
56376772;-86.875322;33.534168;
56376773;-86.874766;33.534155;
56376825;-86.877337;33.53376;
56376856;-86.737583;33.507373;
56376862;-86.830883;33.528413;
56376866;-86.830874;33.529488;
56376869;-86.830871;33.53004;
56376870;-86.830868;33.530647;
56376874;-86.830906;33.531187;
56376883;-86.830869;33.531669;
56376891;-86.831207;33.532499;
56376898;-86.82979;33.505004;
56376900;-86.829999;33.505851;
56376923;-86.831012;33.527735;
56376936;-86.830952;33.52335;
56376938;-86.830938;33.524127;
56376940;-86.830928;33.524698;
56377024;-86.83087;33.490755;
56377025;-86.831932;33.490769;
56377050;-86.838446;33.488208;
56377052;-86.839551;33.488239;
56377373;-86.827848;33.501139;
56377412;-86.82066;33.48357;
56377413;-86.820637;33.482446;
56377419;-86.82008;33.482431;
56377424;-86.8200582;33.4812191;
56377425;-86.820046;33.480542;
56377459;-86.851239;33.499442;
56377464;-86.849392;33.497427;
56377465;-86.849215;33.497231;
56377468;-86.848941;33.49693;
56377471;-86.848378;33.496322;
56377479;-86.848754;33.496102;
56377481;-86.847917;33.495088;
56377485;-86.84707;33.494079;
56377488;-86.846381;33.493264;
56377600;-86.706005;33.615326;
56377607;-86.706034;33.61682;
56377790;-86.853443;33.491712;
56377792;-86.85382;33.490516;
56377797;-86.854536;33.48952;
56377801;-86.856144;33.487526;
56377804;-86.856333;33.487226;
56377806;-86.856779;33.486485;
56377811;-86.8577464;33.4863779;
56377816;-86.859037;33.486579;
56377818;-86.859552;33.486659;
56377827;-86.862507;33.486283;
56377830;-86.86431;33.485312;
56377831;-86.865607;33.484645;
56377834;-86.865767;33.484568;
56377837;-86.866724;33.484108;
56377839;-86.867154;33.483883;
56377842;-86.867695;33.483598;
56377844;-86.868088;33.483386;
56377847;-86.868635;33.483092;
56377849;-86.868855;33.482973;
56377853;-86.870009;33.482339;
56377855;-86.870892;33.481848;
56377858;-86.871582;33.48143;
56377860;-86.872442;33.480818;
56377863;-86.873166;33.480317;
56377865;-86.873712;33.47994;
56377868;-86.874393;33.479394;
56377870;-86.875317;33.478726;
56377872;-86.875961;33.478262;
56377875;-86.876565;33.477829;
56377878;-86.877707;33.476996;
56377881;-86.878779;33.47611;
56377884;-86.879886;33.475212;
56377890;-86.882016;33.473529;
56377895;-86.883008;33.472574;
56377939;-86.842024;33.534078;
56377945;-86.842504;33.534793;
56377950;-86.84115;33.534236;
56377953;-86.841321;33.534419;
56378176;-86.877948;33.558595;turning_circle
56378188;-86.905249;33.520003;
56378189;-86.906222;33.521006;
56378192;-86.9068097;33.5216025;
56378329;-86.73696;33.520373;turning_circle
56378339;-86.736889;33.521423;
56378517;-86.900427;33.445831;
56378523;-86.900383;33.444063;
56378528;-86.900385;33.443437;
56378543;-86.900806;33.44106;
56379305;-86.714795;33.588856;
56379309;-86.716439;33.588896;
56379353;-86.6538022;33.6275452;
56379365;-86.655891;33.62683;
56379427;-86.675722;33.619079;
56379461;-86.672699;33.619092;
56379463;-86.673949;33.618751;
56379470;-86.674854;33.618413;
56379511;-86.8338976;33.5403304;
56379725;-86.874396;33.48043;
56379740;-86.876191;33.488376;
56379752;-86.87636;33.48689;
56379759;-86.874853;33.483517;
56379764;-86.874395;33.48218;
56379766;-86.87439;33.481361;
56379769;-86.874395;33.48061;
56380513;-86.702821;33.638544;
56380523;-86.707691;33.643685;
56380530;-86.709419;33.642462;
56380604;-86.833951;33.499035;
56380705;-86.875318;33.449063;
56380824;-86.7373035;33.5094806;
56381035;-86.734987;33.445171;traffic_signals
56381040;-86.734869;33.445098;traffic_signals
56381067;-86.71935;33.435811;traffic_signals
56381068;-86.719252;33.435746;traffic_signals
56381082;-86.7113669;33.4310199;traffic_signals
56381336;-86.735107;33.445028;traffic_signals
56381338;-86.73499;33.444955;traffic_signals
56381351;-86.719375;33.435597;traffic_signals
56381817;-86.816137;33.561757;
56381818;-86.816096;33.564562;
56382069;-86.886577;33.456666;
56382072;-86.886588;33.455803;
56382078;-86.785971;33.510354;
56382080;-86.7843359;33.5111443;
56382086;-86.783117;33.511687;
56382089;-86.782293;33.512116;
56382096;-86.780258;33.512676;
56382104;-86.7793518;33.513092;
56382120;-86.776786;33.513981;
56382130;-86.77459;33.514861;
56382134;-86.773983;33.514882;
56382153;-86.7698738;33.5155633;
56382169;-86.766651;33.5161719;
56382179;-86.7655872;33.5172084;
56382181;-86.7654322;33.517361;
56382229;-86.762654;33.519925;
56382269;-86.760175;33.516655;
56382281;-86.759391;33.516199;
56382469;-86.741903;33.614223;
56382474;-86.711664;33.521606;
56382506;-86.8158497;33.4790421;
56382513;-86.8142985;33.4783381;
56382968;-86.930166;33.524433;
56383079;-86.659885;33.61558;
56383083;-86.660383;33.615992;turning_circle
56383103;-86.730995;33.51625;
56383110;-86.730561;33.517846;
56383112;-86.730509;33.518645;
56383121;-86.734767;33.509762;
56383125;-86.735145;33.509307;turning_circle
56383130;-86.732892;33.506313;
56383131;-86.732265;33.505693;
56383425;-86.709676;33.522816;
56383484;-86.706315;33.597369;turning_circle
56383486;-86.706297;33.598189;
56383719;-86.824731;33.530109;
56383730;-86.824122;33.530025;
56383732;-86.823183;33.530006;
56383737;-86.821927;33.530228;
56383744;-86.835809;33.530062;
56383746;-86.835285;33.530057;
56383752;-86.833811;33.530029;
56383765;-86.832319;33.530047;
56383775;-86.826669;33.530051;
56383776;-86.826281;33.530051;
56383778;-86.761355;33.549338;
56383787;-86.759672;33.548772;
56383791;-86.819547;33.532122;
56383793;-86.817462;33.5322;
56383798;-86.817138;33.53232;
56383803;-86.816132;33.532532;
56383809;-86.800349;33.540678;
56383818;-86.799741;33.541691;
56383836;-86.734136;33.544331;
56383837;-86.734141;33.543687;
56383839;-86.734142;33.543599;
56383845;-86.734165;33.542603;
56384547;-86.96709;33.467398;
56384946;-86.878837;33.51444;
56384953;-86.876603;33.514395;
56384955;-86.874625;33.514314;
56384956;-86.8732704;33.5141467;
56384969;-86.870811;33.514283;
56384970;-86.870421;33.514276;
56384975;-86.868125;33.514063;
56385090;-86.749814;33.541068;
56385091;-86.750685;33.541759;
56385095;-86.750229;33.542119;
56385102;-86.753405;33.54534;
56385104;-86.753884;33.54591;
56385329;-86.7949436;33.5025601;
56385332;-86.7944205;33.5033083;
56385336;-86.7937565;33.5042608;
56385350;-86.7949313;33.4958667;
56385353;-86.7940896;33.4957942;
56385474;-86.823595;33.494928;
56385482;-86.823824;33.494442;
56385487;-86.823832;33.49382;
56385495;-86.824252;33.497351;
56385499;-86.824162;33.495827;
56385507;-86.823903;33.492931;
56385510;-86.823885;33.4915;
56385568;-86.828267;33.553158;
56385571;-86.826866;33.553582;
56385575;-86.825421;33.554012;
56385591;-86.822541;33.554869;
56385594;-86.821135;33.555287;
56385599;-86.819655;33.555707;traffic_signals
56385611;-86.81818;33.556146;
56385616;-86.816687;33.556586;
56385631;-86.782206;33.554728;
56385639;-86.781149;33.554683;
56385646;-86.796122;33.557561;
56385647;-86.794044;33.557472;
56385651;-86.74401;33.55409;
56385671;-86.806695;33.558192;
56385675;-86.805809;33.558173;
56385688;-86.804051;33.558194;
56385695;-86.803103;33.558189;
56385723;-86.832624;33.551882;
56385868;-86.786464;33.523608;
56385872;-86.786785;33.524057;
56385876;-86.787657;33.525315;
56385882;-86.79563;33.5371;
56385894;-86.796703;33.537979;
56385896;-86.796894;33.538268;
56385901;-86.797585;33.539324;
56385906;-86.797995;33.539906;
56385909;-86.798329;33.540398;
56385920;-86.798374;33.550148;
56385921;-86.798374;33.55032;
56385926;-86.798375;33.550663;
56385931;-86.798376;33.551105;
56385933;-86.798373;33.551395;
56385938;-86.798377;33.551872;
56385943;-86.798372;33.552636;
56385945;-86.798368;33.552833;
56385948;-86.798372;33.553628;
56385953;-86.798376;33.554105;
56385955;-86.79837;33.554444;
56385963;-86.798365;33.555253;
56385966;-86.798363;33.555439;
56385971;-86.798366;33.556061;
56385975;-86.798371;33.55687;
56385983;-86.79975;33.560422;
56386023;-86.798302;33.540889;
56386028;-86.79826;33.541651;
56386035;-86.798327;33.543951;
56386046;-86.791764;33.531382;
56386052;-86.79317;33.533445;
56386056;-86.794126;33.534838;
56386059;-86.794593;33.535527;
56386134;-86.745196;33.531838;
56386142;-86.744286;33.531028;
56386155;-86.745957;33.534801;
56386160;-86.745685;33.533868;
56386169;-86.745089;33.533037;
56386178;-86.744104;33.53235;
56386186;-86.749972;33.54094;
56386187;-86.748141;33.539735;
56386190;-86.7468;33.536014;
56386192;-86.747264;33.536911;
56386196;-86.747751;33.537768;
56386199;-86.747778;33.537813;
56386203;-86.748284;33.538721;
56386374;-86.691102;33.58907;
56386392;-86.689894;33.589911;
56386396;-86.689385;33.589515;
