stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
914,1930,Huffman Rd and Springville Rd,,33.606580000000001,-86.688010000000006,,
915,1931,Huffman Rd and Centerpoint Pkwy (Jet Pep,,33.610390000000002,-86.687340000000006,,
916,1932,Centerpoint Pkwy and Cheyenne Blvd,,33.616070000000001,-86.685360000000003,,
917,1933,Centerpoint Pkwy and 13th Ave NE,,33.619489999999999,-86.684799999999996,,
918,1934,Centerpoint Pkwy and 14th Ave NE,,33.62135,-86.684889999999996,,
919,1935,Centerpoint Pkwy and Lake Dr,,33.624130000000001,-86.68526,,
920,1936,Centerpoint Pkwy and 15th Terrace NE,,33.627000000000002,-86.685410000000005,,
921,1937,Centerpoint Pkwy and 16th Ave NE (near S,,33.629759999999997,-86.685090000000002,,
922,1938,Centerpoint Pkwy and Polly Reed Rd,,33.635170000000002,-86.683959999999999,,
923,1939,Centerpoint Pkwy and 19th Ct NE,,33.636920000000003,-86.683719999999994,,
924,1940,Centerpoint Pkwy and 21st Ave NE,,33.640619999999998,-86.683660000000003,,
925,1941,CENTERPOINT PKWY & 23RD AVE,,33.645780000000002,-86.684960000000004,,
926,1942,23rd Ave NW and 3rd St NW,,33.645740000000004,-86.691659999999999,,
927,1943,23rd Ave NW and 4th St NW,,33.645490000000002,-86.694469999999995,,
928,1944,23rd Ave NW and 5th Pl NW,,33.644570000000002,-86.698909999999998,,
929,1945,23rd Ave NW and 7th St,,33.644039999999997,-86.705669999999998,,
930,1946,23rd Ave NW and Carson Rd,,33.643830000000001,-86.707560000000001,,
931,1947,Carson Rd and 23rd Terrace NW,,33.645330000000001,-86.708770000000001,,
932,1948,Carson Rd and 24th Ave NW,,33.647170000000003,-86.708960000000005,,
933,1949,JEFFERSON STATE COLLEGE,,33.651159999999997,-86.707759999999993,,
934,1950,Sunhill Rd and 7th St NW,,33.651350000000001,-86.704359999999994,,
935,1951,Sunhill Rd and 6th St NW,,33.652090000000001,-86.701239999999999,,
936,1952,Sunhill Rd and 5th Pl NW,,33.653109999999998,-86.698269999999994,,
937,1953,Sunhill Rd and 4th St NW,,33.652030000000003,-86.693470000000005,,
938,1954,25th Ave NW and 1st Pl NW,,33.651029999999999,-86.686660000000003,,
939,1955,25th Ave NW and Centerpoint Pkwy,,33.650959999999998,-86.683220000000006,,
940,1956,Centerpoint Pkwy and 23rd Terrace NW,,33.64864,-86.683750000000003,,
941,1957,23RD AVE & CENTERPOINT PKWY,,33.645969999999998,-86.683970000000002,,
942,1958,Centerpoint Parkway and 22nd Ave NW,,33.642200000000003,-86.683850000000007,,
943,1959,Centerpoint Pkwy and 20th Ave NW,,33.63776,-86.683869999999999,,
944,1960,Centerpoint Parkway and Polly Reed Rd (I,,33.634920000000001,-86.684200000000004,,
945,1961,Centerpoint Pkwy and 1st St (Applebee's),,33.627540000000003,-86.685770000000005,,
946,1962,Centerpoint Parkway and Lake Drive (IB),,33.624740000000003,-86.685699999999997,,
947,1963,Centerpoint Pkwy and 14th Ave NW (Cathed,,33.622680000000003,-86.68544,,
948,1964,Centerpoint Parkway and 13th Ave NE (IB),,33.61983,-86.685159999999996,,
949,1965,Centerpoint Pkwy and Hiawatha Dr,,33.616729999999997,-86.685569999999998,,
950,1966,Centerpoint Pkwy and Huffman Rd,,33.61036,-86.687489999999997,,
951,1967,Huffman Rd and Springville Rd,,33.608379999999997,-86.687420000000003,,
952,1968,Huffman Rd and Cornerstone Inbound,,33.604089999999999,-86.689250000000001,,
953,1969,Roebuck Dr and Huffman Rd,,33.599620000000002,-86.691209999999998,,
954,1970,Parkway East and Gene Reed Rd,,33.597430000000003,-86.693759999999997,,
955,1971,Pkwy East Near Burger King,,33.595950000000002,-86.694540000000003,,
956,1972,Parkway East and Red Lane Rd,,33.59111,-86.698279999999997,,
957,1973,Red Lane Rd and Aaron Dr,,33.591119999999997,-86.699650000000005,,
958,1974,RED LANE ROAD AND WALMART,,33.591140000000003,-86.701030000000003,,
959,1975,Eastern Health Clinic (IB),,33.58475,-86.717609999999993,,
969,1985,1st Ave N and 68th St N (IB),,33.551279999999998,-86.738939999999999,,
970,1986,66th St N and 1st Ave N,,33.549930000000003,-86.740499999999997,,
